Sadia Sharming,sadia@uoft.com
Faisal Masalha,TrueDescription@gmail.com
Tian Yu,Hello@DingDong.com
Alex Segovia,alexseg@brocku.com
Yhandi Hugo,yhandi@uoft.com
Michael Jen,mikejens@gmail.com
Bogdan Simion,BogMan@CS.com
Nick Sego,Sego2@gmail.com
Eric Cen,eric@MathGod.com
Chun Kai Chen,chenc340@mail.utoronto.ca
Katherine Benitez,katherine.chen@kai.com
Daniel Lopez,danlopez@uoft.com
Zach Lavine,zachtt@nba.com
Nikky Segovia,nikky@kai.com
Danny BrokenJumpshot,DannyBadBoi@Yessir.com
Haris Idrees,DudeProX@family.com
Ryan Perkins,ryan@gmail.com
Max Saddler,max@calculus.com
Ali Mousavidehshikh,MathMatician@algebra.com
Monika Segovia,monika.segovia@gmail.com
Axel Visan,parlefrancais@gmail.com
